PERIOD," ",Capital Stable,Capital Stable,Conservative Balanced,Conservative Balanced,Socially Responsible Investment (SRI) - Balanced,Socially Responsible Investment (SRI) - Balanced,Indexed Balanced,Indexed Balanced,Balanced,Balanced,Shares Plus,Shares Plus,Cash,Cash,Diversified Fixed Interest,Diversified Fixed Interest,Property,Property,Australian Shares,Australian Shares,International Shares,International Shares,International Shares - Indexed,International Shares - Indexed,International Shares (Hedged) - Indexed,International Shares (Hedged) - Indexed,Macquarie Investment Management - Australian Fixed Interest,Macquarie Investment Management - Australian Fixed Interest,BlackRock Asset Management - International Fixed Interest,BlackRock Asset Management - International Fixed Interest,Industry Super Property Trust Core Fund - Property,Industry Super Property Trust Core Fund - Property,"Lend Lease managed Australian Prime Property Funds (Retail, Commercial & Industrial) - Property","Lend Lease managed Australian Prime Property Funds (Retail, Commercial & Industrial) - Property",IFM - Australian Infrastructure,IFM - Australian Infrastructure,Balanced Equity Management - Australian Shares,Balanced Equity Management - Australian Shares,IFM - Australian Shares,IFM - Australian Shares,Paradice Investment Management (Small Cap) - Australian Shares,Paradice Investment Management (Small Cap) - Australian Shares,Neuberger Berman - International Shares,Neuberger Berman - International Shares
FROM,TO,PRICE,RETURN,PRICE,RETURN,PRICE,RETURN,PRICE,RETURN,PRICE,RETURN,PRICE,RETURN,PRICE,RETURN,PRICE,RETURN,PRICE,RETURN,PRICE,RETURN,PRICE,RETURN,PRICE,RETURN,PRICE,RETURN,PRICE,RETURN,PRICE,RETURN,PRICE,RETURN,PRICE,RETURN,PRICE,RETURN,PRICE,RETURN,PRICE,RETURN,PRICE,RETURN,PRICE,RETURN
31/03/1988,30/04/1988,,,,,,,,,,1.2800%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/04/1988,31/05/1988,,,,,,,,,,1.2800%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/05/1988,30/06/1988,,,,,,,,,,1.2800%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/06/1988,31/07/1988,,,,,,,,,,1.1700%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/07/1988,31/08/1988,,,,,,,,,,1.1700%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/08/1988,30/09/1988,,,,,,,,,,1.1700%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/09/1988,31/10/1988,,,,,,,,,,1.1700%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/10/1988,30/11/1988,,,,,,,,,,1.1700%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/11/1988,31/12/1988,,,,,,,,,,1.1700%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/1988,31/01/1989,,,,,,,,,,1.1700%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/1989,28/02/1989,,,,,,,,,,1.1700%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/02/1989,31/03/1989,,,,,,,,,,1.1700%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/1989,30/04/1989,,,,,,,,,,1.1700%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/04/1989,31/05/1989,,,,,,,,,,1.1700%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/05/1989,30/06/1989,,,,,,,,,,1.1700%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/06/1989,31/07/1989,,,,,,,,,,1.1300%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/07/1989,31/08/1989,,,,,,,,,,1.1300%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/08/1989,30/09/1989,,,,,,,,,,1.1300%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/09/1989,31/10/1989,,,,,,,,,,1.1300%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/10/1989,30/11/1989,,,,,,,,,,1.1300%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/11/1989,31/12/1989,,,,,,,,,,1.1300%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/1989,31/01/1990,,,,,,,,,,1.1300%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/1990,28/02/1990,,,,,,,,,,1.1300%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/02/1990,31/03/1990,,,,,,,,,,1.1300%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/03/1990,30/04/1990,,,,,,,,,,1.1300%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/04/1990,31/05/1990,,,,,,,,,,1.1300%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/05/1990,30/06/1990,,,,,,,,,,1.1300%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/06/1990,31/07/1990,,,,,,,,,,0.9400%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/07/1990,31/08/1990,,,,,,,,,,0.9400%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/08/1990,30/09/1990,,,,,,,,,,0.9400%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/09/1990,31/10/1990,,,,,,,,,,0.9400%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/10/1990,30/11/1990,,,,,,,,,,0.9400%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/11/1990,31/12/1990,,,,,,,,,,0.9400%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/12/1990,31/01/1991,,,,,,,,,,0.9400%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
